regime,exit_pct,n_trades,win_rate,avg_return
1,0.3,370,1.0,0.3
1,0.35,370,0.9513513513513514,0.34439089434497366
1,0.372,370,0.9135135135135135,0.35982532082758534
1,0.4,370,0.845945945945946,0.3728590867628597
1,0.45,370,0.7135135135135136,0.38667305439325717
2,0.3,200,1.0,0.3
2,0.35,200,0.975,0.3465848916666716
2,0.372,200,0.94,0.3634838428140773
2,0.4,200,0.86,0.3776509020711829
2,0.45,200,0.73,0.39404321870403686
3,0.3,295,1.0,0.30000000000000004
3,0.35,295,0.9694915254237289,0.34394415193333566
3,0.372,295,0.9355932203389831,0.36035682879933495
3,0.4,295,0.864406779661017,0.37582523203738183
3,0.45,295,0.7830508474576271,0.40344828133387667
4,0.3,267,1.0,0.3
4,0.35,267,0.9662921348314607,0.3468786003148762
4,0.372,267,0.9288389513108615,0.36374008295697974
4,0.4,267,0.8576779026217228,0.3780220949827862
4,0.45,267,0.700374531835206,0.3921550693391774
5,0.3,158,1.0,0.30000000000000004
5,0.35,158,0.9810126582278481,0.3441863440069349
5,0.372,158,0.9493670886075949,0.36036307041576554
5,0.4,158,0.9050632911392406,0.37785665063272683
5,0.45,158,0.7784810126582279,0.4019296262679223
6,0.3,259,1.0,0.3
6,0.35,259,0.9845559845559846,0.3470999513004515
6,0.372,259,0.972972972972973,0.3659794438127618
6,0.4,259,0.9266409266409267,0.3847262430987229
6,0.45,259,0.8571428571428571,0.4185162918717757
7,0.3,491,1.0,0.30000000000000004
7,0.35,491,0.9816700610997964,0.3475872874451031
7,0.372,491,0.9592668024439919,0.3648009252489116
7,0.4,491,0.9144602851323829,0.3833971078062954
7,0.45,491,0.8329938900203666,0.415177792379589
8,0.3,463,1.0,0.2999999999999999
8,0.35,463,0.9827213822894169,0.34733967508122177
8,0.372,463,0.9632829373650108,0.36577378415957035
8,0.4,463,0.9265658747300216,0.3871603425357473
8,0.45,463,0.8272138228941684,0.41604157659247776
9,0.3,554,1.0,0.30000000000000004
9,0.35,554,0.9729241877256317,0.3439431000743323
9,0.372,554,0.9494584837545126,0.3616813667536714
9,0.4,554,0.907942238267148,0.38063603623065156
9,0.45,554,0.8212996389891697,0.4121816421464613
