market_level,event_type,p25,p50,p75,p90
1,breakout_0,-9416.25,40836759.0,1809426935.5,9526729482.200026
1,breakout_1,-9180.5,39770614.0,1711501151.0,7732502731.800007
1,breakout_2,-24784.25,5583808.5,858899960.25,4257675263.499999
1,breakout_3,-23427.0,3404884.0,1316897376.5,6195466914.0
1,peak_0,2519.5,2895970.5,505612176.25,3462110353.5
1,peak_1,-24231.0,2093989.5,564188566.0,3802725893.200002
1,peak_2,-11984.5,2855609.0,564181049.0,3492166337.000004
1,peak_3,2701.0,34916511.0,1528936344.0,6562361126.4000025
2,breakout_0,-27490.25,3493188.0,695226964.0,3638579644.600001
2,breakout_1,-5611.0,10720031.0,1046130597.0,5549027282.799999
2,breakout_2,-13520.0,25665232.5,1491480291.75,7855646036.300011
2,breakout_3,-17259.25,14199292.5,990966518.0,4436727314.5
2,peak_0,613.0,6839210.0,651267421.0,3972694141.0
2,peak_1,-3612.5,7112044.0,576273651.25,3902649709.3000064
2,peak_2,3149.0,9971097.0,1487826862.0,6561437872.5
2,peak_3,0.0,7042266.0,595713860.0,5049657867.0
3,breakout_0,-322.0,3865663.5,565947918.0,3881480954.0
3,breakout_1,-4660.0,3578349.5,915492304.5,4393247378.5
3,breakout_2,-12991.25,6673994.5,1363343874.75,6503773762.500001
3,breakout_3,-14917.0,3594519.0,945613037.0,6547415663.400002
3,peak_0,3570.5,5324641.0,493414287.0,4637287526.0
3,peak_1,4428.25,6635492.0,612431886.75,5421751578.5
3,peak_2,-633.5,3349932.0,260955765.0,3260117367.0
3,peak_3,-134196.0,2864289.0,260896813.0,3051713960.2
4,breakout_0,-5208.0,3429982.5,856253076.5,5073923601.5
4,breakout_1,1553.75,3594440.0,901765280.75,6043043134.500001
4,breakout_2,-3.75,3596831.5,1075334524.0,4818821304.0
4,breakout_3,-3758.0,3368920.0,383562628.0,4246345994.0000014
4,peak_0,22167.0,34086754.0,1595845510.5,7055873912.6
4,peak_1,3212.0,8562881.0,710728121.0,5324810461.0
4,peak_2,2050.5,5269083.0,530747067.0,4103769084.799998
4,peak_3,-152.5,5576317.0,1289618787.5,5944809248.600001
5,breakout_0,-65544.5,2128346.0,322600861.25,4729720806.199996
5,breakout_1,-106859.5,2096885.5,396786306.5,4520928854.5
5,breakout_2,-7711.75,5278879.5,518086693.25,3783154085.9999995
5,breakout_3,8308.0,36011556.0,1497172011.5,5401149605.600001
5,peak_0,61837.5,20562420.0,920398282.5,4948293759.000001
5,peak_1,124.75,10689316.5,647645513.75,5854547614.5
5,peak_2,-1.75,10977056.0,1053512924.0,5649230675.000001
5,peak_3,4014.75,8201931.0,564370294.0,4408398975.400003
6,breakout_0,-15059.25,2106953.5,511546870.75,4107086637.8999987
6,breakout_1,-15264.0,3517000.0,362983342.5,3476868973.0
6,breakout_2,-5619.25,3259457.5,275956935.75,3571715470.7
6,breakout_3,-231.0,7822030.0,584790852.25,4760123655.7
6,peak_0,4653.75,14096500.0,599182093.75,4172835888.0
6,peak_1,2120.25,14568351.5,385527116.0,2520163820.6000032
6,peak_2,2363.0,12209173.0,684311058.0,6082780994.200002
6,peak_3,-218.25,3518654.5,828360554.75,4495320265.700004
7,breakout_0,-292.75,11148482.5,881625507.5,5111511968.5
7,breakout_1,271.25,8681456.5,927718719.25,6399524849.499998
7,breakout_2,-382.25,6372949.5,641231513.0,4028871421.9999976
7,breakout_3,-2239.0,4535080.5,445971318.5,3824734350.2000003
7,peak_0,9658.25,39830851.5,1257589984.25,6094389412.200014
7,peak_1,1959.75,17837393.5,1135085729.25,5720145521.0
7,peak_2,326.0,13196801.0,982631159.5,4910807180.5
7,peak_3,1334.0,21595028.0,949859830.0,5576187480.600005
8,breakout_0,-3.5,34275643.0,977809736.5,5339706106.400001
8,breakout_1,273.5,28153495.0,866579579.5,4033764117.800001
8,breakout_2,6861.5,30285714.0,1525561158.75,6805710681.0
8,breakout_3,-297.0,42452133.0,1476788387.5,7643277574.3
8,peak_0,6791.0,67193572.0,1484826810.0,7353213162.0
8,peak_1,8792.5,84142145.5,1860014925.25,9214788443.40001
8,peak_2,22113.75,73778142.5,1738762263.75,8185778110.500008
8,peak_3,6791.0,70168791.0,1513179510.5,6213964526.000004
9,breakout_0,-9.0,29424537.0,937501397.0,6060498823.400011
9,breakout_1,2257.25,35628185.5,1096253371.5,7425784962.0
9,breakout_2,167.0,32550120.0,999108358.0,6644536895.600007
9,breakout_3,374.75,22571272.0,1095511612.0,6374012153.600007
9,peak_0,75451.0,156822273.0,2651827453.0,11070173342.999998
9,peak_1,51255.0,129530564.0,2205177155.0,10647008572.20003
9,peak_2,11216.0,71372576.0,1840818996.0,9716616512.6
9,peak_3,9470.0,46946907.0,1570109865.0,9875362655.800026
